ESG Dimension,ESG Indicator,Indicator Group,Definition,Academic Source,Measurement Objective,Amazon Candidate Dataset,Amazon Candidate Columns,Expected Evidence,Initial Assessment
Environmental,Sustainable Materials,High-Priority Indicator,Tỷ lệ sử dụng các loại nguyên vật liệu có tác động môi trường thấp trong vòng đời sản phẩm.,"SASB Standards, Circular Fashion Research",Đánh giá mức độ sử dụng vật liệu bền vững.,Products Dataset,"material, item_desc, title",Sustainable Material,Strong Candidate
Environmental,Eco Labels & Certifications,High-Priority Indicator,Sự hiện diện của các chứng nhận sinh thái độc lập minh chứng cho quy trình sản xuất thân thiện môi trường.,"GRI Standards, ISO 14001",Đánh giá việc sở hữu chứng nhận sinh thái uy tín.,Products Dataset,"title, item_desc",Eco Label,Strong Candidate
Environmental,Sustainable Packaging,High-Priority Indicator,Mức độ tối ưu hóa bao bì thông qua việc giảm thiểu kích thước hoặc sử dụng vật liệu tự hủy sinh học.,"SASB Standards, Literature Review",Đánh giá mức độ thân thiện môi trường của bao bì đóng gói.,Products Dataset + Reviews Dataset,"item_desc, review_text",ESG Keyword,Moderate Candidate
Environmental,Recycled Materials,High-Priority Indicator,Tỷ lệ cấu thành sản phẩm từ các nguồn xơ sợi hoặc vật liệu đã qua tái chế post-consumer hoặc pre-consumer.,"Circular Fashion Research, GRI Standards",Xác định tỷ lệ thành phần tái chế trong cấu trúc sản phẩm.,Products Dataset,"material, item_desc",Sustainable Material,Strong Candidate
Environmental,Organic Materials,High-Priority Indicator,Sử dụng các loại sợi tự nhiên được canh tác không dùng hóa chất tổng hợp độc hại.,"Literature Review, GRI Standards",Xác định sự hiện diện của sợi hữu cơ (như organic cotton).,Products Dataset,"material, item_desc, title",Sustainable Material,Strong Candidate
Environmental,Product Durability,High-Priority Indicator,"Độ bền vật lý và cấu trúc của sản phẩm thời trang, kéo dài vòng đời sử dụng để giảm thiểu rác thải.","Circular Fashion Research, Literature Review",Đánh giá tuổi thọ và độ bền vững cấu trúc của sản phẩm qua phản hồi.,Reviews Dataset,"review_text, rating",Review Evidence,Strong Candidate
Environmental,Packaging Waste Reduction,Supporting Indicator,Các nỗ lực từ phía nhà bán hàng nhằm cắt giảm lượng rác thải bao bì nhựa dùng một lần.,"UN SDGs, Literature Review",Ghi nhận phản hồi tích cực/tiêu cực về lượng rác bao bì dư thừa.,Reviews Dataset,review_text,Complaint Pattern,Moderate Candidate
Environmental,Circular Fashion / Recyclability,Supporting Indicator,Khả năng tái chế của sản phẩm sau khi hết vòng đời sử dụng dựa trên cấu trúc vật liệu đơn dòng (mono-material).,Circular Fashion Research,Đánh giá tiềm năng tái chế của sản phẩm.,Products Dataset,"material, item_desc",Keyword Matching,Moderate Candidate
Social,Product Quality,High-Priority Indicator,Mức độ hoàn thiện và chất lượng cốt lõi của sản phẩm đáp ứng kỳ vọng tiêu dùng xã hội.,"Literature Review, GRI Standards",Đánh giá tính nhất quán về chất lượng sản phẩm.,Reviews Dataset,"rating, review_text",Rating Pattern,Strong Candidate
Social,Product Safety,High-Priority Indicator,Đảm bảo sản phẩm không chứa các hóa chất độc hại gây dị ứng hoặc gây nguy hiểm vật lý cho người mặc.,"OECD Guidelines, SASB Standards",Đánh giá mức độ an toàn sản phẩm.,Reviews Dataset,"review_text, verified_purchase",Complaint Pattern,Strong Candidate
